time,node_id,state,total_energy
0,11,0,0
time,node_id,state,total_energy
0,11,1,0
time,node_id,state,total_energy
0,11,0,0
time,node_id,state,total_energy
0,11,1,0
time,node_id,state,total_energy
5,11,0,0.15
time,node_id,state,total_energy
5.2,11,1,0.24
time,node_id,state,total_energy
10,11,0,0.384
time,node_id,state,total_energy
10.2,11,1,0.474
time,node_id,state,total_energy
15,11,0,0.618
time,node_id,state,total_energy
15.2,11,1,0.708
time,node_id,state,total_energy
20,11,0,0.852
time,node_id,state,total_energy
20.2,11,1,0.942
time,node_id,state,total_energy
25,11,0,1.086
time,node_id,state,total_energy
25.2,11,1,1.176
time,node_id,state,total_energy
30,11,0,1.32
time,node_id,state,total_energy
30.2,11,1,1.41
time,node_id,state,total_energy
35,11,0,1.554
time,node_id,state,total_energy
35.2,11,1,1.644
time,node_id,state,total_energy
40,11,0,1.788
time,node_id,state,total_energy
40.2,11,1,1.878
time,node_id,state,total_energy
45,11,0,2.022
time,node_id,state,total_energy
45.2,11,1,2.112
time,node_id,state,total_energy
50,11,0,2.256
time,node_id,state,total_energy
50.2,11,1,2.346
time,node_id,state,total_energy
55,11,0,2.49
time,node_id,state,total_energy
55.2,11,1,2.58
time,node_id,state,total_energy
0,11,0,0
time,node_id,state,total_energy
0,11,1,0
time,node_id,state,total_energy
5,11,0,0.15
time,node_id,state,total_energy
5.2,11,1,0.24
time,node_id,state,total_energy
10,11,0,0.384
time,node_id,state,total_energy
10.2,11,1,0.474
time,node_id,state,total_energy
15,11,0,0.618
time,node_id,state,total_energy
15.2,11,1,0.708
time,node_id,state,total_energy
20,11,0,0.852
time,node_id,state,total_energy
20.2,11,1,0.942
time,node_id,state,total_energy
25,11,0,1.086
time,node_id,state,total_energy
25.2,11,1,1.176
time,node_id,state,total_energy
30,11,0,1.32
time,node_id,state,total_energy
30.2,11,1,1.41
time,node_id,state,total_energy
35,11,0,1.554
time,node_id,state,total_energy
35.2,11,1,1.644
time,node_id,state,total_energy
40,11,0,1.788
time,node_id,state,total_energy
40.2,11,1,1.878
time,node_id,state,total_energy
45,11,0,2.022
time,node_id,state,total_energy
45.2,11,1,2.112
time,node_id,state,total_energy
50,11,0,2.256
time,node_id,state,total_energy
50.2,11,1,2.346
time,node_id,state,total_energy
55,11,0,2.49
time,node_id,state,total_energy
55.2,11,1,2.58
time,node_id,state,total_energy
0,11,0,0
time,node_id,state,total_energy
0,11,1,0
time,node_id,state,total_energy
5,11,0,0.15
time,node_id,state,total_energy
5.2,11,1,0.24
time,node_id,state,total_energy
10,11,0,0.384
time,node_id,state,total_energy
10.2,11,1,0.474
time,node_id,state,total_energy
15,11,0,0.618
time,node_id,state,total_energy
15.2,11,1,0.708
time,node_id,state,total_energy
20,11,0,0.852
time,node_id,state,total_energy
20.2,11,1,0.942
time,node_id,state,total_energy
25,11,0,1.086
time,node_id,state,total_energy
25.2,11,1,1.176
time,node_id,state,total_energy
30,11,0,1.32
time,node_id,state,total_energy
30.2,11,1,1.41
time,node_id,state,total_energy
35,11,0,1.554
time,node_id,state,total_energy
35.2,11,1,1.644
time,node_id,state,total_energy
40,11,0,1.788
time,node_id,state,total_energy
40.2,11,1,1.878
time,node_id,state,total_energy
45,11,0,2.022
time,node_id,state,total_energy
45.2,11,1,2.112
time,node_id,state,total_energy
50,11,0,2.256
time,node_id,state,total_energy
50.2,11,1,2.346
time,node_id,state,total_energy
55,11,0,2.49
time,node_id,state,total_energy
55.2,11,1,2.58
time,node_id,state,total_energy
0,11,0,0
time,node_id,state,total_energy
0,11,1,0
time,node_id,state,total_energy
5,11,0,0.15
time,node_id,state,total_energy
5.2,11,1,0.24
time,node_id,state,total_energy
10,11,0,0.384
time,node_id,state,total_energy
10.2,11,1,0.474
time,node_id,state,total_energy
15,11,0,0.618
time,node_id,state,total_energy
15.2,11,1,0.708
time,node_id,state,total_energy
20,11,0,0.852
time,node_id,state,total_energy
20.2,11,1,0.942
time,node_id,state,total_energy
25,11,0,1.086
time,node_id,state,total_energy
25.2,11,1,1.176
time,node_id,state,total_energy
30,11,0,1.32
time,node_id,state,total_energy
30.2,11,1,1.41
time,node_id,state,total_energy
35,11,0,1.554
time,node_id,state,total_energy
35.2,11,1,1.644
time,node_id,state,total_energy
40,11,0,1.788
time,node_id,state,total_energy
40.2,11,1,1.878
time,node_id,state,total_energy
45,11,0,2.022
time,node_id,state,total_energy
45.2,11,1,2.112
time,node_id,state,total_energy
50,11,0,2.256
time,node_id,state,total_energy
50.2,11,1,2.346
time,node_id,state,total_energy
55,11,0,2.49
time,node_id,state,total_energy
55.2,11,1,2.58
